"ticker","run_date","merton_score","financial_score","market_score","ews_score","ews_rank"
"ADANIENT.NS","2026-03-04","0.696969696969697","0.52","0.75","0.642090909090909",8
"ADANIPORTS.NS","2026-03-04","0.3939393939393939","0.3","0.375","0.35068181818181815",21
"BAJFINANCE.NS","2026-03-04","0.5454545454545454","0.52","0.375","0.48413636363636364",14
"CIPLA.NS","2026-03-04","0.09090909090909091","0","0.625","0.21477272727272728",28
"DLF.NS","2026-03-04","0.30303030303030304","0.08","0.875","0.3854090909090909",19
"DRREDDY.NS","2026-03-04","0.21212121212121213","0.08","0.125","0.13313636363636364",31
"GMRAIRPORT.NS","2026-03-04","0.5151515151515151","1","0.375","0.6670454545454545",7
"GTLINFRA.NS","2026-03-04","0.8787878787878788","0.8","1","0.8836363636363638",1
"HINDCOPPER.NS","2026-03-04","0.36363636363636365","0.08","0.5","0.29109090909090907",25
"IDEA.NS","2026-03-04","0.9393939393939394","1","0.25","0.7568181818181818",4
"IIFL.NS","2026-03-04","0.8484848484848485","0.7","0.625","0.7220454545454544",5
"INDIGO.NS","2026-03-04","0.5757575757575758","0.5","0.875","0.6352272727272728",9
"INFY.NS","2026-03-04","0.06060606060606061","0","0.75","0.24318181818181817",27
"JINDALSTEL.NS","2026-03-04","0.45454545454545453","0.18","0","0.20836363636363636",29
"JPASSOCIAT.NS","2026-03-04","0.9696969696969697","0.78","0.875","0.865409090909091",2
"JSWENERGY.NS","2026-03-04","0.7272727272727273","0.52","0.375","0.5386818181818183",11
"MARUTI.NS","2026-03-04","0.030303030303030304","0.2","0.375","0.2015909090909091",30
"PNB.NS","2026-03-04","0.6060606060606061","0.3","0.25","0.37681818181818183",20
"POLYCAB.NS","2026-03-04","0.24242424242424243","0","0","0.07272727272727272",33
"PVRINOX.NS","2026-03-04","0.8181818181818182","0.82","0.375","0.6859545454545455",6
"RAYMOND.NS","2026-03-04","1","0.2","0.75","0.605",10
"RCOM.NS","2026-03-04","0.9090909090909091","0.8","0.75","0.8177272727272727",3
"SAIL.NS","2026-03-04","0.7575757575757576","0.42000000000000004","0.125","0.4327727272727273",17
"SUNPHARMA.NS","2026-03-04","0.12121212121212122","0","0.125","0.07386363636363635",32
"SUZLON.NS","2026-03-04","0.2727272727272727","0.08","0.75","0.3388181818181818",22
"TATACHEM.NS","2026-03-04","0.48484848484848486","0.3","0.75","0.4904545454545454",13
"TATASTEEL.NS","2026-03-04","0.6363636363636364","0.64","0.25","0.5219090909090909",12
"TCS.NS","2026-03-04","0.15151515151515152","0","0.875","0.3079545454545455",24
"TECHM.NS","2026-03-04","0.18181818181818182","0.08","0.625","0.27404545454545454",26
"VEDL.NS","2026-03-04","0.6666666666666666","0.42000000000000004","0.375","0.4805",15
"WIPRO.NS","2026-03-04","0.3333333333333333","0","0.75","0.32499999999999996",23
"YESBANK.NS","2026-03-04","0.7878787878787878","0.42000000000000004","0.25","0.4793636363636364",16
"ZEEL.NS","2026-03-04","0.42424242424242425","0.1","0.875","0.4297727272727273",18
