"ticker","run_date","momentum_3m","vol_regime","drawdown_6m","relative_return_6m","momentum_score","vol_score","drawdown_score","relative_score","market_stress_score"
"ADANIENT.NS","2026-03-04","-0.05173990606528556","1.6771457154030516","-0.22414434472905626","-0.08106157829280392","0.5","1","1","0.5","0.75"
"ADANIPORTS.NS","2026-03-04","-0.04226475851073075","1.7216533223736838","-0.08648575403181105","0.07936212009826205","0","1","0.5","0","0.375"
"BAJFINANCE.NS","2026-03-04","-0.07470143626821957","1.2355978902985008","-0.13622450806775246","0.06766088209832388","0.5","0.5","0.5","0","0.375"
"CIPLA.NS","2026-03-04","-0.12917775121228448","0.9727134172657176","-0.21062757246714187","-0.15727038842860697","0.5","0","1","1","0.625"
"DLF.NS","2026-03-04","-0.19625707938846226","1.2367174561905847","-0.2767079913657849","-0.24022161351298443","1","0.5","1","1","0.875"
"DRREDDY.NS","2026-03-04","0.008198641680584373","1.2910022385299562","-0.023814924898191675","0.035781533619386185","0","0.5","0","0","0.125"
"GMRAIRPORT.NS","2026-03-04","-0.09634553082952557","1.2814099293054309","-0.12136595949301951","0.09962002381602353","0.5","0.5","0.5","0","0.375"
"GTLINFRA.NS","2026-03-04","-0.16153840510802653","1.5741353409266663","-0.32298135174299897","-0.2576434300697158","1","1","1","1","1"
"HINDCOPPER.NS","2026-03-04","0.6146127722937693","1.6871643384176358","-0.2794202172556525","1.3208446357609889","0","1","1","0","0.5"
"IDEA.NS","2026-03-04","-0.053080607534822466","0.8872662101362114","-0.1716418388453361","0.5404321932523158","0.5","0","0.5","0","0.25"
"IIFL.NS","2026-03-04","-0.15824995225784022","1.3327524703348077","-0.27309442098768","0.1092503410445883","1","0.5","1","0","0.625"
"INDIGO.NS","2026-03-04","-0.21492272319832906","1.2637151438001248","-0.25970679097678634","-0.21875266329647325","1","0.5","1","1","0.875"
"INFY.NS","2026-03-04","-0.17185021546141532","1.2319370795765394","-0.22629897820115263","-0.10841908649145104","1","0.5","1","0.5","0.75"
"JINDALSTEL.NS","2026-03-04","0.1478534201692674","1.09215554540631","-0.07745754092849388","0.20404470521961493","0","0","0","0","0"
"JPASSOCIAT.NS","2026-03-04","-0.2837466053267569","1.105337671535605","-0.3809523755460637","-0.2739083284580639","1","0.5","1","1","0.875"
"JSWENERGY.NS","2026-03-04","-0.004572574134931839","1.204616888310749","-0.14682827447620017","-0.07871823595966732","0","0.5","0.5","0.5","0.375"
"MARUTI.NS","2026-03-04","-0.1196368610869295","1.1562204717927966","-0.18123987971316216","-0.04021536284787108","0.5","0.5","0.5","0","0.375"
"PNB.NS","2026-03-04","0.013105172410938337","1.1135950767828915","-0.08303111070634152","0.1858234247122671","0","0.5","0.5","0","0.25"
"POLYCAB.NS","2026-03-04","0.14625709146257093","0.9927138215003162","-0.03791882004529354","0.15987160273570755","0","0","0","0","0"
"PVRINOX.NS","2026-03-04","-0.08622867441928794","1.0307659606851807","-0.18622077001284246","-0.0918696058812426","0.5","0","0.5","0.5","0.375"
"RAYMOND.NS","2026-03-04","-0.18728631174462473","0.3454506203380855","-0.394636298753447","-0.3706053294481504","1","0","1","1","0.75"
"RCOM.NS","2026-03-04","-0.36585369163057757","1.0597981597532355","-0.4729729990962647","-0.46710292871411285","1","0","1","1","0.75"
"SAIL.NS","2026-03-04","0.17965431532139986","1.125733816009233","-0.060889573277866024","0.28599382126446626","0","0.5","0","0","0.125"
"SUNPHARMA.NS","2026-03-04","-0.024812706129344386","1.1650279243949526","-0.03807003527723723","0.1315223202664867","0","0.5","0","0","0.125"
"SUZLON.NS","2026-03-04","-0.24073017323977186","0.9664252716811381","-0.3389072964167488","-0.3086363621470193","1","0","1","1","0.75"
"TATACHEM.NS","2026-03-04","-0.09628395572671278","1.2309547487817551","-0.2959259861535848","-0.23434679264610014","0.5","0.5","1","1","0.75"
"TATASTEEL.NS","2026-03-04","0.17858853274382414","1.3330331206693236","-0.0871845219581914","0.24793078435167482","0","0.5","0.5","0","0.25"
"TCS.NS","2026-03-04","-0.17143286628131216","1.5444320555068656","-0.20754205631792014","-0.1441634804112154","1","1","1","0.5","0.875"
"TECHM.NS","2026-03-04","-0.1235648998076424","1.2373961000254978","-0.23591951339201184","-0.09159981899889147","0.5","0.5","1","0.5","0.625"
"VEDL.NS","2026-03-04","0.31569072083460537","1.5752616366175565","-0.0852743233089713","0.6300591113616162","0","1","0.5","0","0.375"
"WIPRO.NS","2026-03-04","-0.21238126318273665","0.9730827934890037","-0.26431728151875417","-0.19470924234597953","1","0","1","1","0.75"
"YESBANK.NS","2026-03-04","-0.1066964031406199","0.7606618125588543","-0.1672909006614285","0.029399533797642596","0.5","0","0.5","0","0.25"
"ZEEL.NS","2026-03-04","-0.17906558043790766","1.1307735447626739","-0.31715457632588323","-0.2841056712923177","1","0.5","1","1","0.875"
